"state","location","any.both_sexes_2007","any.females_2007","any.males_2007"
"Montana","Gallatin County",69.2,63.6,75
"Montana","Madison County",68.5,62.7,74.6
"Montana","Park County",68.2,60.6,76.1
"Montana","Carbon County",67.7,60.5,75.2
"Montana","Judith Basin County",66.8,60.6,73.3
"Montana","Jefferson County",66.6,61.2,72.2
"Montana","Missoula County",66,61.2,70.9
"Montana","Stillwater County",65.6,57.8,73.7
"Montana","Toole County",65.6,58.3,73.1
"Montana","Lewis and Clark County",65.2,59.1,71.6
"Montana","Sweet Grass County",64.9,58.3,71.8
"Montana","Flathead County",64.3,58.8,69.9
"Montana","Granite County",64,56.3,71.9
"Montana","Powell County",63.8,59.2,68.6
"Montana","Meagher County",63.5,56.5,70.7
"Montana","Petroleum County",63.4,55.7,71.3
"Montana","Ravalli County",63.2,57.7,68.9
"Montana","Montana",62.9,56.6,69.4
"Montana","Silver Bow County",62.9,59.8,66.1
"Montana","McCone County",62.8,56.4,69.5
"Montana","Cascade County",62.5,56.2,68.9
"Montana","Valley County",62.1,54.8,69.7
"Montana","Yellowstone County",62.1,54.5,70.1
"Montana","Lincoln County",61.5,55.8,67.4
"Montana","Powder River County",61.5,54.6,68.7
"Montana","Golden Valley County",61.4,55,68
"Montana","Phillips County",61.2,52.6,70.1
"Montana","Sanders County",61.2,54.1,68.6
"Montana","Fergus County",61.1,53.2,69.3
"Montana","Beaverhead County",61,55.5,66.7
"Montana","Wheatland County",61,55.2,66.9
"Montana","Custer County",60.5,53.1,68.2
"Montana","Garfield County",60.4,53.3,67.6
"Montana","Mineral County",60.2,52.6,68.1
"Montana","Deer Lodge County",60.1,55.3,65.1
"Montana","Fallon County",60,50.7,69.7
"Montana","Treasure County",59.9,52.9,67.1
"Montana","Chouteau County",59.5,50.9,68.4
"Montana","Lake County",59.5,52.7,66.6
"Montana","Broadwater County",59.4,53.4,65.6
"Montana","Wibaux County",59.4,52.6,66.4
"Montana","Prairie County",59.3,50.4,68.5
"Montana","Teton County",58.7,52.3,65.3
"Montana","Richland County",58.5,51.5,65.7
"Montana","Hill County",58.2,50.3,66.3
"Montana","Liberty County",58,50,66.3
"Montana","Musselshell County",57.8,50.8,65
"Montana","Dawson County",57.7,50.4,65.3
"Montana","Carter County",56.5,48.1,65.3
"Montana","Pondera County",54.6,48.2,61.3
"Montana","Sheridan County",54.3,47.6,61.3
"Montana","Blaine County",52.8,42,63.9
"Montana","Daniels County",51.2,42.9,59.7
"Montana","Glacier County",51.2,44.9,57.7
"Montana","Rosebud County",51,41.1,61.2
"Montana","Roosevelt County",46.9,39,55.2
"Montana","Big Horn County",45,36,54.3
