"state","location","both_sexes_2011","females_2011","males_2011"
"California","Marin County",73.9,71,76.8
"California","Sonoma County",68.6,64.7,72.6
"California","Nevada County",67.5,64,71.2
"California","San Francisco County",67.3,62,72.8
"California","El Dorado County",66.9,62.8,71.2
"California","Napa County",65.9,59.6,72.4
"California","San Mateo County",65.1,59.2,71.2
"California","Santa Cruz County",64.7,58.9,70.7
"California","Contra Costa County",64.6,59.7,69.6
"California","Placer County",64.5,60.6,68.5
"California","Plumas County",64.5,60.5,68.6
"California","Mono County",64.3,59.3,69.4
"California","San Luis Obispo County",64,58.6,69.6
"California","Alpine County",63.6,62.1,65.1
"California","Amador County",63.6,60.9,66.3
"California","Mendocino County",63.4,59.1,67.9
"California","Humboldt County",62.9,59,67
"California","Yolo County",62.7,56.2,69.5
"California","Calaveras County",62.2,58,66.7
"California","Trinity County",61.9,57.8,66.3
"California","Mariposa County",61.6,57.1,66.2
"California","Santa Barbara County",61.6,53.2,70.4
"California","Sierra County",61.5,57.4,65.8
"California","Ventura County",61.1,53.5,69
"California","Alameda County",61,56,66.2
"California","San Diego County",60.9,53.5,68.5
"California","Orange County",60.2,53.2,67.5
"California","Modoc County",60.1,55.5,65
"California","Santa Clara County",59.9,53.3,66.8
"California","Inyo County",59.8,53.4,66.4
"California","Solano County",59.4,54.1,65
"California","Lassen County",59.3,57.5,61.2
"California","Tuolumne County",59,55.5,62.7
"California","Butte County",58.9,53,65
"California","Sacramento County",58.9,54.5,63.5
"California","Lake County",58.5,52.4,64.9
"California","Tehama County",58.4,52.3,64.7
"California","Siskiyou County",58,52.8,63.4
"California","California",57.5,50.2,65.1
"California","Shasta County",56.7,51.5,62.1
"California","Yuba County",56.2,48,64.7
"California","Colusa County",55.7,46.4,65.4
"California","San Benito County",55.7,45.5,66.3
"California","Riverside County",55.4,46.9,64.3
"California","Del Norte County",54.7,50.5,59
"California","Glenn County",54.5,46.2,63.1
"California","Monterey County",54.5,45.3,64.1
"California","Sutter County",54.3,46.5,62.4
"California","Los Angeles County",54.1,45.7,62.9
"California","San Joaquin County",53.3,44.9,62
"California","San Bernardino County",51.3,42.1,60.8
"California","Stanislaus County",51.1,42.6,59.9
"California","Kings County",50.6,42,59.5
"California","Madera County",49.9,39.9,60.2
"California","Kern County",47.7,38.5,57.3
"California","Tulare County",47.6,37.1,58.5
"California","Fresno County",47.5,38.5,56.7
"California","Merced County",47.3,37.6,57.2
"California","Imperial County",44,30.8,57.6
