"state","location","any.both_sexes_2012","any.females_2012","any.males_2012"
"Mississippi","Madison County",55.8,50.5,61.3
"Mississippi","Harrison County",55.6,49.2,62.3
"Mississippi","Hancock County",53,46.9,59.4
"Mississippi","Lafayette County",52.1,46.2,58.2
"Mississippi","Hinds County",50.7,43.9,57.8
"Mississippi","DeSoto County",50.1,43.7,56.8
"Mississippi","Jackson County",49.9,42.9,57.1
"Mississippi","Adams County",48.1,42,54.5
"Mississippi","Oktibbeha County",47.2,40.1,54.6
"Mississippi","Warren County",47.1,38.9,55.6
"Mississippi","Rankin County",46.6,41.8,51.7
"Mississippi","Coahoma County",46.5,39.9,53.3
"Mississippi","Claiborne County",46,36.6,55.8
"Mississippi","Bolivar County",45.8,39.6,52.2
"Mississippi","Washington County",45.3,38.5,52.4
"Mississippi","Forrest County",45.2,37,53.8
"Mississippi","Lamar County",44.9,38.3,51.6
"Mississippi","Mississippi",43.1,35.3,51.2
"Mississippi","Lauderdale County",41.6,32.8,50.7
"Mississippi","Lowndes County",41.6,32.8,50.7
"Mississippi","Lee County",41.5,31.6,51.8
"Mississippi","Leflore County",41.2,32.6,50
"Mississippi","Tunica County",41.1,31.1,51.5
"Mississippi","Jefferson County",41,30.9,51.4
"Mississippi","Grenada County",40.4,33.5,47.6
"Mississippi","Sunflower County",40.2,33.4,47.1
"Mississippi","Yazoo County",40.1,31.4,49
"Mississippi","Panola County",40,29,51.4
"Mississippi","Wilkinson County",39.4,30,49.1
"Mississippi","Kemper County",39.3,26.8,52.3
"Mississippi","Clay County",39.2,29.3,49.5
"Mississippi","Pearl River County",39.1,31.7,46.7
"Mississippi","Carroll County",38.5,30.6,46.5
"Mississippi","Marshall County",38.5,28.6,48.8
"Mississippi","Pike County",38.5,28.6,48.8
"Mississippi","Tate County",38.5,28.5,48.8
"Mississippi","Humphreys County",38.4,30,47.1
"Mississippi","Noxubee County",38,27.5,48.8
"Mississippi","Stone County",37.9,28,48.1
"Mississippi","Montgomery County",37.7,29.6,46.1
"Mississippi","Quitman County",37.7,26,49.8
"Mississippi","Monroe County",37.1,27.1,47.5
"Mississippi","Holmes County",36.8,26.1,47.9
"Mississippi","Sharkey County",36.8,26.8,47.2
"Mississippi","Copiah County",36.5,26.6,46.8
"Mississippi","Neshoba County",35.9,27.9,44.2
"Mississippi","Jefferson Davis County",35.8,26.5,45.5
"Mississippi","Marion County",35.6,26.2,45.3
"Mississippi","Attala County",35.5,26.6,44.7
"Mississippi","Tallahatchie County",35.5,26.2,45.1
"Mississippi","Jasper County",35,24.7,45.6
"Mississippi","Lincoln County",35,27.2,43.2
"Mississippi","Franklin County",34.7,24.9,44.9
"Mississippi","Jones County",34.7,24.8,44.8
"Mississippi","Scott County",34.5,24.2,45.1
"Mississippi","Covington County",34.2,25.5,43.3
"Mississippi","Issaquena County",34,23.9,44.5
"Mississippi","Itawamba County",34,23.9,44.4
"Mississippi","Amite County",33.7,22,45.8
"Mississippi","Webster County",33.6,25.8,41.8
"Mississippi","Union County",33.5,24.4,43
"Mississippi","Newton County",33.4,24.6,42.6
"Mississippi","Lawrence County",33.2,22.8,44
"Mississippi","Choctaw County",33.1,24.8,41.7
"Mississippi","Leake County",32.9,23.9,42.2
"Mississippi","Winston County",32.9,23.7,42.4
"Mississippi","Yalobusha County",32.9,24.8,41.3
"Mississippi","Clarke County",32.3,22.5,42.5
"Mississippi","Pontotoc County",32.3,23.3,41.7
"Mississippi","George County",32.2,21.8,42.9
"Mississippi","Walthall County",32.1,23.8,40.7
"Mississippi","Alcorn County",31.9,22.4,41.8
"Mississippi","Greene County",31.9,22.3,41.9
"Mississippi","Smith County",31.9,22.5,41.6
"Mississippi","Perry County",31.5,22.2,41.2
"Mississippi","Tishomingo County",31.5,22.4,41
"Mississippi","Wayne County",31.1,21.5,41
"Mississippi","Chickasaw County",30.7,21.3,40.5
"Mississippi","Simpson County",30,21.8,38.5
"Mississippi","Tippah County",29.9,21,39.1
"Mississippi","Prentiss County",29.5,19.9,39.5
"Mississippi","Calhoun County",29,20.8,37.4
"Mississippi","Benton County",27.9,19.5,36.7
